map_dim,rep,time,bytes
300,1,1346.287895511,328154434472
300,2,1271.115710444,328811206736
300,3,1345.460585464,339631565968
300,4,1349.980347859,330418875136
300,5,1325.831896338,331422175704
300,6,1325.469734818,309279463880
300,7,1332.32992619,328538019088
300,8,1374.022526065,349390500112
300,9,1320.540601436,332026380080
300,10,1343.36042641,339824972496
300,11,1270.974897967,319164372104
300,12,1353.763040886,339820475504
300,13,1374.212392524,344585556304
300,14,1304.75860804,313532871728
300,15,1338.563969531,321748644872
300,16,1369.149076852,340406414648
300,17,1413.27869334,352496621808
300,18,1391.181787226,339342950400
300,19,1376.88567913,327787784808
300,20,1383.665105607,323518961520
300,21,1414.894900231,325410692704
300,22,1391.330564791,331695458872
300,23,1336.299078006,335037354520
300,24,1403.650643753,347975666424
300,25,1235.244062672,307941154776
