map_dim,rep,time,bytes
400,1,3054.072950409,834416468256
400,2,2862.33769503,805955137816
400,3,2786.606361996,734544354760
400,4,2898.442986041,739775062496
400,5,2572.710897055,655943632608
400,6,2995.352728635,751844352744
400,7,2919.079057595,763985958072
400,8,2934.254667631,764348783416
400,9,3112.065322665,823830049912
400,10,3057.386581992,772330450344
400,11,2685.562157657,706562961480
400,12,2847.912237173,762229162288
400,13,3120.139039507,835455537336
400,14,2731.657834439,733799770440
400,15,2743.546571724,712426444440
400,16,3073.011443484,845839044808
400,17,2866.106694327,756145193424
400,18,2914.203906281,755978256744
400,19,2970.387510964,762804677752
400,20,2960.634093533,743472635872
400,21,2965.406896,787344150984
400,22,3087.505395526,796380332912
400,23,2851.341928496,727678889736
400,24,3067.650130228,807269652696
400,25,3174.264948748,794199130120
