map_dim,rep,time,bytes
200,1,396.768279613,117351281048
200,2,348.475514417,107553184216
200,3,387.69752266,112921021512
200,4,437.785164601,110912168328
200,5,456.847848365,112242020800
200,6,446.739268989,110388011832
200,7,443.930835973,111939816648
200,8,448.133581869,111920432064
200,9,445.695817267,111548840648
200,10,442.480723278,109498331064
200,11,431.290624877,108724119616
200,12,454.801173112,114786138608
200,13,454.483819908,109144724672
200,14,450.880588337,111997040304
200,15,436.180266355,106869010352
200,16,458.278287227,112107601896
200,17,452.462176312,110290507872
200,18,461.327591684,111352502920
200,19,460.192563019,109965225872
200,20,471.753833687,113683863624
200,21,479.320373825,113648080624
200,22,466.917432665,109476339944
200,23,469.278259274,112758122392
200,24,466.621304277,106554359688
200,25,493.407410156,115087723032
